iter	Passed	Remaining
0	9	9435
1	19	9784
2	28	9477
3	37	9378
4	46	9297
5	55	9167
6	63	9048
7	71	8854
8	79	8786
9	88	8809
10	97	8778
11	105	8674
12	113	8637
13	122	8620
14	130	8591
15	138	8523
16	148	8571
17	157	8610
18	167	8669
19	178	8722
20	188	8782
21	200	8897
22	211	8988
23	221	8993
24	233	9124
25	243	9116
26	251	9046
27	259	9024
28	268	8981
29	276	8947
30	284	8882
31	292	8840
32	300	8801
33	308	8771
34	316	8718
35	323	8674
36	333	8667
37	342	8665
38	349	8617
39	358	8595
40	367	8599
41	376	8586
42	385	8569
43	395	8586
44	404	8592
45	414	8603
46	424	8616
47	434	8618
48	445	8641
49	455	8653
50	467	8708
51	479	8736
52	490	8768
53	503	8815
54	515	8848
55	524	8841
56	533	8826
57	542	8811
58	552	8805
59	560	8785
60	568	8752
61	577	8738
62	586	8723
63	596	8717
64	606	8723
65	615	8713
66	625	8705
67	633	8688
68	643	8688
69	653	8677
70	662	8669
71	671	8656
72	684	8685
73	693	8680
74	703	8674
75	711	8655
76	721	8647
77	731	8647
78	741	8649
79	752	8650
80	765	8679
81	777	8704
82	791	8740
83	804	8771
84	815	8780
85	825	8777
86	837	8785
87	852	8834
88	861	8819
89	872	8825
90	882	8818
91	891	8797
92	901	8789
93	910	8772
94	919	8757
95	927	8735
96	937	8731
97	947	8719
98	957	8710
99	966	8699
100	975	8683
101	983	8662
102	994	8657
103	1003	8642
104	1012	8627
105	1022	8622
106	1031	8606
107	1040	8594
108	1050	8589
109	1059	8573
110	1069	8563
111	1077	8545
112	1086	8530
113	1096	8522
114	1106	8515
115	1115	8504
116	1126	8498
117	1135	8486
118	1144	8469
119	1153	8462
120	1163	8449
121	1171	8434
122	1181	8421
123	1190	8410
124	1200	8403
125	1211	8401
126	1221	8399
127	1231	8386
128	1239	8370
129	1248	8358
130	1258	8345
131	1270	8356
132	1280	8348
133	1290	8341
134	1302	8348
135	1313	8345
136	1322	8328
137	1331	8315
138	1340	8304
139	1350	8296
140	1359	8285
141	1370	8279
142	1378	8264
143	1387	8248
144	1397	8242
145	1407	8231
146	1416	8216
147	1425	8208
148	1435	8196
149	1446	8196
150	1459	8205
151	1472	8212
152	1483	8210
153	1494	8208
154	1505	8205
155	1516	8203
156	1529	8209
157	1539	8206
158	1551	8204
159	1565	8220
160	1576	8216
161	1588	8217
162	1599	8214
163	1610	8211
164	1622	8212
165	1635	8215
166	1646	8211
167	1660	8224
168	1673	8227
169	1684	8224
170	1696	8224
171	1708	8224
172	1720	8222
173	1731	8221
174	1744	8222
175	1755	8220
176	1767	8217
177	1776	8204
178	1786	8191
179	1795	8177
180	1803	8161
181	1811	8143
182	1822	8137
183	1832	8125
184	1841	8111
185	1853	8111
186	1866	8113
187	1878	8111
188	1891	8114
189	1903	8114
190	1914	8109
191	1927	8110
192	1938	8104
193	1949	8099
194	1960	8092
195	1970	8083
196	1979	8069
197	1990	8063
198	2003	8064
199	2011	8044
200	2020	8032
201	2029	8017
202	2037	8001
203	2046	7987
204	2057	7977
205	2065	7962
206	2073	7945
207	2082	7928
208	2089	7909
209	2098	7895
210	2107	7881
211	2115	7862
212	2122	7844
213	2131	7828
214	2139	7812
215	2148	7797
216	2156	7779
217	2164	7765
218	2172	7748
219	2180	7732
220	2188	7713
221	2196	7698
222	2205	7684
223	2213	7667
224	2220	7648
225	2228	7632
226	2236	7617
227	2245	7602
228	2254	7589
229	2263	7579
230	2272	7565
231	2281	7552
232	2289	7535
233	2298	7524
234	2306	7509
235	2314	7492
236	2322	7476
237	2331	7464
238	2339	7448
239	2346	7432
240	2354	7414
241	2363	7403
242	2371	7386
243	2379	7372
244	2387	7356
245	2395	7343
246	2417	7368
247	2434	7381
248	2449	7389
249	2462	7387
250	2473	7379
251	2482	7367
252	2490	7353
253	2498	7338
254	2507	7324
255	2514	7308
256	2523	7294
257	2531	7280
258	2539	7266
259	2546	7249
260	2556	7237
261	2564	7224
262	2572	7209
263	2580	7194
264	2590	7184
265	2598	7169
266	2605	7153
267	2613	7138
268	2622	7126
269	2631	7114
270	2639	7099
271	2647	7086
272	2656	7073
273	2664	7060
274	2672	7045
275	2680	7030
276	2689	7019
277	2699	7010
278	2707	6996
279	2714	6980
280	2724	6970
281	2733	6960
282	2742	6947
283	2751	6936
284	2760	6926
285	2770	6915
286	2778	6903
287	2787	6892
288	2795	6878
289	2805	6867
290	2812	6852
291	2821	6840
292	2828	6826
293	2838	6815
294	2845	6800
295	2854	6789
296	2862	6775
297	2870	6761
298	2877	6747
299	2887	6736
300	2895	6723
301	2902	6709
302	2911	6696
303	2920	6686
304	2928	6673
305	2936	6658
306	2943	6644
307	2952	6633
308	2960	6619
309	2968	6606
310	2976	6595
311	2985	6584
312	2994	6572
313	3002	6559
314	3011	6548
315	3021	6540
316	3031	6532
317	3041	6521
318	3050	6511
319	3058	6499
320	3068	6490
321	3076	6478
322	3085	6466
323	3093	6454
324	3102	6444
325	3111	6433
326	3120	6422
327	3130	6413
328	3138	6401
329	3147	6390
330	3156	6380
331	3168	6375
332	3179	6369
333	3189	6359
334	3200	6352
335	3210	6343
336	3219	6333
337	3230	6326
338	3241	6321
339	3252	6313
340	3263	6305
341	3272	6295
342	3281	6285
343	3291	6276
344	3302	6270
345	3313	6262
346	3323	6254
347	3334	6247
348	3345	6240
349	3357	6236
350	3368	6228
351	3380	6223
352	3392	6217
353	3402	6208
354	3413	6201
355	3423	6192
356	3432	6182
357	3441	6172
358	3450	6161
359	3460	6151
360	3468	6139
361	3478	6130
362	3487	6120
363	3495	6107
364	3503	6095
365	3512	6084
366	3521	6074
367	3529	6061
368	3539	6052
369	3547	6040
370	3556	6029
371	3564	6017
372	3573	6007
373	3581	5995
374	3590	5984
375	3598	5971
376	3607	5962
377	3616	5950
378	3624	5938
379	3632	5926
380	3642	5917
381	3651	5906
382	3658	5893
383	3667	5883
384	3675	5871
385	3684	5860
386	3692	5848
387	3700	5836
388	3708	5825
389	3717	5814
390	3724	5801
391	3733	5790
392	3742	5780
393	3751	5769
394	3759	5758
395	3768	5747
396	3777	5737
397	3786	5727
398	3794	5715
399	3803	5705
400	3812	5694
401	3822	5686
402	3830	5674
403	3838	5663
404	3848	5653
405	3856	5642
406	3865	5631
407	3873	5620
408	3882	5609
409	3889	5597
410	3898	5586
411	3907	5576
412	3915	5565
